text
阿们颂
爱的真谛
爱筵我尝
爱主更深
安稳在耶稣手中
白超乎雪
百般恩爱从主来
宝贵祷告良辰
宝贵血泉
宝架清影
宝血功效
宝血活泉
比雪更洁白
彼此饶恕
彼此相爱
不能朽、不能见，独一的真神
不朽的爱
不在我身
灿烂经卷
藏身主里
曾否就主
唱哈利路亚赞美主
晨昏颂祷
称颂奇妙王
称颂至圣上主
称谢歌
成为我异象
城外青山
吃饼喝杯
吃这饼，喝这杯
除祢以外
除主外别无所有
传扬上帝旨意
慈悲仁爱上帝
赐福救主
赐我圣经
从你见耶稣
大山可以挪开
大喜佳音报牧人
大哉圣名.第二调
大哉圣名
当点名时
当尽本分
当乐意事奉祂
当试炼来临时
当听主言
当我凭自己
当转眼仰望耶稣
祷告良辰
倒空荣光
等到何日恩主才回来？
等主来
都到天庭
都归耶稣
恩典出口
恩典大过我罪
凡愿意者可来
非我手所能做
分享生命粮
分享主爱
丰富的主
奉献身心为主
奉行真道
奉主名前行
福乐天乡
福音确据
俯伏祢面前（工作者的祷告）
父神是信实的
复活基督
赶快传道
感谢神
感谢主恩
橄榄山头
羔羊已得胜
高举十架
歌唱主生平
歌颂父神伟大权能
歌颂主爱
歌颂主恩
各有十架
跟从耶稣
跟随耶稣
更爱我主
更加与主接近
更亲近恩主
共享恩筵
古旧十架
谷中百合花
归主为圣
哈利路亚，感谢天父
哈利路亚，何等救主
哈利路亚，因十架！
哈利路亚
哈利路亚归十架
禾捆带回来
何等奇妙的救主
贺祂为王
欢乐下临
欢欣安息之圣日
欢欣之日
郇城歌
回应主呼召
婚礼于今完成
婚礼祝颂
活出基督
活着为耶稣
基督，我所有
基督恩爱
基督我主，我心盼望-1
基督我主，我心盼望-2
藉我赐恩福
坚定相信
坚固保障
坚固磐石
将见我王
将最好的献主
教会根基
教会兴起
教我祈祷
教友联合
解忧歌
今将散去求主赐福
今天是主所定之日
尽告耶稣
尽忠
近主十架
浸礼歌
静思主恩
救赎
救主何竟流宝血
救主舍命心破碎
救主耶稣精兵
君尊义仆
开到水深之处
看，祂驾云降临
看哪，我们的神！
看哪！圣徒荣耀光景
看那奥秘何等奇妙
靠近主
靠主有福
客西马尼
恳求圣灵充满我
恳求引领
恳求永生上帝的灵
快来崇拜受苦救主
快乐崇拜
快乐的家
快乐日
来，复活君王的子民
来吧，忧伤的人
来近圣桌
来就上主羔羊
来拥戴主为王
灵魂避难所
领到各各他
领受饼杯
领一灵魂归神
流血
马槽圣婴
马槽中的圣婴
每日每时
每日新恩
每想到祢
每一天
美丽光明物-1
美丽光明物-2
美哉羔羊
蒙主拣选
祢的话
祢是我藏身处
祢是我的一切
祢信实何广大
祢真伟大
妙爱找我
莫把我弃掉
你当欢欣
你的光当照耀
你的罪虽像朱红
你若不压橄榄成渣
你在哪里
念主舍命之恩
平安夜
平安又经过六日
凭祢意行
凭信不凭眼见
普世欢腾
齐歌颂真神
齐建神殿
齐来，信主圣徒
齐来庆贺受膏者
齐来谢主
齐来赞美
齐肃立称颂主
奇妙圣经
奇妙圣婴
奇妙十架
奇异的爱
奇异恩典
千古保障
虔守圣餐
虔守圣日
亲爱主牵我手
倾降圣灵
求赐大复兴
求赐福教会
求父赐福
求来我心
求主察看
求主垂怜
求主赐当说的话
求主赐我坚强信心
求主带领
求主复兴教会
求主藉异象激动我
求主鉴察
求主教我怎样祷告
求主今天引导管理
求主领我
求主每天教导我
求主赦免（晚祷）
求主使我成长
全地回荡
全能之神
劝人就主
让你心破碎
让我爱而不受感戴
人子耶稣背罪担
仍愿高唱
日落之那边
荣光照我心
荣耀归神
荣耀归于真神
荣耀归主名
荣耀全归至高真神
荣耀三一神
荣耀释放
荣耀颂-1
荣耀颂-2
荣耀颂
如今更爱主
三一来临
三一颂-1
三一颂-2
善牧恩慈-1
善牧恩慈-2
上主慈爱
上主恩言
上主之灵
上主作为何等奥秘
神的路最美善
神的威严
神是智慧，神是爱
神未曾应许
神真美善
神旨意永坚定
生命是神流通管
生命运河
生命之道
圣餐
圣餐感恩
圣诞钟声
圣法兰西斯祷文
圣经全真确
圣灵的充满
圣灵恩光
圣灵降临
圣灵如鸽下降
圣灵同住
圣善的灵
圣徒同心聚集
圣婴孩歌
圣哉圣哉圣哉
圣哉颂-1
圣哉颂-2
十架大能
十架归路
十架下我低头静默思想
十字架的道路要牺牲
时刻靠主
时刻蒙恩
时刻需主
世界上的真光
事主蒙福
是否将一切献上
是否十架精兵
是救主
受苦圣徒，到基督前
受难前夕
赎价已付
述说主耶稣
数算主恩
睡主怀中
思慕耶稣
思索圣经
颂扬圣灵
颂赞荣耀归于主
颂赞与尊贵
颂赞主圣名
颂主大爱
颂主歌
颂主之心
肃静迎主
虽然无花果树
所有美善力量
祂藏我灵
祂除我罪
祂恩典更多
天父，我尊崇祢
天父爱我们有多深
天父必看顾你
天父儿女何等安全
天父圣言
天使初报圣诞佳音
天使歌唱在高天
天天尝主恩
听！那永恒琴声
痛哉，主血倾流
脱离罪担
完全的爱
晚祷求恩
万变中歌颂主
万福泉源
万古磐石
万国当拜祢
万世战争
万物的结局近了
微声盼望
微小圣婴
惟独耶稣
惟独耶稣是我信息
惟靠主耶稣的宝血
惟有基督
惟主永远长存
伟大的神
伟大工匠
伟哉救主
